Name;LexminIPS;LexminPIS;LongestIPS;LongestPIS;MinimalIPS;MinimalPIS;BuggyIPS;BuggyPIS
StreamConstructor_WTC_NXT;0;0;0;0;0;0;0;0
UnloadListController;0;0;0;0;0;0;0;0
UnloadList0Event;1;1;1;1;1;1;1;1
UnloadReticle;0;0;0;0;0;0;0;0
UnloadReticleArmor;1;1;1;1;1;1;1;1
WH;1;1;1;1;1;1;1;1
WHArmor;1;1;1;1;1;1;1;1
WHErrorReport;1;1;1;1;1;1;1;1
WHErrorReportAdapter;1;1;1;1;1;1;1;1
WHErrorReportArmor;1;1;1;1;1;1;1;1
WLT_ExposeSideArmor;0;0;0;0;0;0;0;0
WLT_ExposeSideBlocker;1;1;1;1;1;1;1;1
WLT_ExposeSideDataCollector_NXE;0;0;0;0;0;0;0;0
WLT_ExposeSideDataCollector_NXT;0;0;0;0;0;0;0;0
WLT_ExposeSideDeterministicChecker;1;1;1;1;1;1;1;1
WLT_ExposeSideEventFeeder;0;0;0;0;0;0;0;0
WLT_ExposeSideEventMapper;0;0;0;0;0;0;0;0
WLT_ExposeSidePredictionConstructor;0;0;0;0;0;0;0;0
WLT_ExposeSidePredictor;0;0;0;0;0;0;0;0
WLT_ExposeSideRecorder_NXE;0;0;0;0;0;0;0;0
WLT_ExposeSideRecorder_NXT;1;1;1;1;1;1;1;1
WLT_LoadTimingPredictor;0;0;0;0;0;0;0;0
WLT_MeasureSideArmor;1;1;1;1;1;1;1;1
WLT_MeasureSideDataCollector;1;1;1;1;1;1;1;1
WLT_MeasureSideDeterministicChecker;1;1;1;1;1;1;1;1
WLT_MeasureSideEventFeeder;1;1;1;1;1;1;1;1
WLT_MeasureSidePredictionConstructor;1;1;1;1;1;1;1;1
WLT_MeasureSideRecorder;1;1;1;1;1;1;1;1
WLT_PredictionValidator;1;1;1;1;1;1;1;1
WLT_SyncSwapArmor;1;1;1;1;1;1;1;1
WLT_SyncSwapPredictor;0;0;0;0;0;0;0;0
WLT_Threshold;1;1;1;1;1;1;1;1
WTCLArmor;1;1;1;1;1;1;1;1
WaferDeliveryTimeoutAdapter;1;1;1;1;1;1;1;1
WaferDeliveryTimeoutArmor;1;1;1;1;1;1;1;1
WaferExposeAdapter;0;0;0;0;0;0;0;0
WaferExposeIntegrityController;0;0;0;0;0;0;0;0
WaferMeasureAdapter;0;0;0;0;0;0;0;0
WaferMeasureIntegrityController;0;0;0;0;0;0;0;0
WaferOutEventAdapter;1;1;1;1;1;1;1;1
WaferOutputAdapter;1;1;1;1;1;1;1;1
WaferPostProcessor;0;0;0;0;0;0;0;0
WaferPrealign;0;0;0;0;0;0;0;0
WaferPrealignAdapter;1;1;1;1;1;1;1;1
WaferPrealignArmor;1;1;1;1;1;1;1;1
WaferStageOutput;0;0;0;0;0;0;0;0
WaferStageOutputArmor;0;0;0;0;0;0;0;0
